Arms;0001;Leather Gloves
Arms;0002;Chainmail Gloves
Arms;0003;Hunter's Vambraces
Arms;0004;Hunter's Guards
Arms;0005;Bone Vambraces
Arms;0006;Bone Guards
Arms;0007;Alloy Vambraces
Arms;0008;Alloy Guards
Arms;0009;Jaggi Vambraces
Arms;000A;Jaggi Guards
Arms;000B;Bnahabra Gloves
Arms;000C;Bnahabra Sleeves
Arms;000D;Rhenoplos Vambraces
Arms;000E;Rhenoplos Guards
Arms;000F;Qurupeco Vambraces
Arms;0010;Qurupeco Guards
Arms;0011;Ludroth Vambraces
Arms;0012;Ludroth Guards
Arms;0013;DUMMY
Arms;0014;Baggi Vambraces
Arms;0015;Baggi Guards
Arms;0016;Barroth Vambraces
Arms;0017;Barroth Guards
Arms;0018;Gobul Vambraces
Arms;0019;Gobul Guards
Arms;001A;DUMMY
Arms;001B;DUMMY
Arms;001C;Guild Bard Braces
Arms;001D;Guild Bard Sleeves
Arms;001E;Scholar's Gloves
Arms;001F;Scholar's Sleeves
Arms;0020;Rathian Vambraces
Arms;0021;Rathian Guards
Arms;0022;Gigginox Vambraces
Arms;0023;Gigginox Guards
Arms;0024;Ingot Vambraces
Arms;0025;Ingot Guards
Arms;0026;Lagiacrus Braces
Arms;0027;Lagiacrus Guards
Arms;0028;Rathalos Vambraces
Arms;0029;Rathalos Guards
Arms;002A;Barioth Vambraces
Arms;002B;Barioth Guards
Arms;002C;Diablos Vambraces
Arms;002D;Diablos Guards
Arms;002E;Uragaan Vambraces
Arms;002F;Uragaan Guards
Arms;0030;Agnaktor Vambraces
Arms;0031;Agnaktor Guards
Arms;0032;Helios Vambraces
Arms;0033;Helios Guards
Arms;0034;Selene Vambraces
Arms;0035;Selene Guards
Arms;0036;Wroggi Vambraces
Arms;0037;Wroggi Guards
Arms;0038;Arzuros Vambraces
Arms;0039;Arzuros Guards
Arms;003A;Lagombi Vambraces
Arms;003B;Lagombi Guards
Arms;003C;Volvidon Vambraces
Arms;003D;Volvidon Guards
Arms;003E;Nibelsnarf Braces
Arms;003F;Nibelsnarf Guards
Arms;0040;Duramboros Braces
Arms;0041;Duramboros Guards
Arms;0042;Yukumo Kote
Arms;0043;DUMMY
Arms;0044;DUMMY
Arms;0045;DUMMY
Arms;0046;DUMMY
Arms;0047;DUMMY
Arms;0048;DUMMY
Arms;0049;DUMMY
Arms;004A;DUMMY
Arms;004B;Leather Vambraces S
Arms;004C;Leather Guards S
Arms;004D;Chainmail Braces S
Arms;004E;Chainmail Guards S
Arms;004F;Hunter's Vambraces S
Arms;0050;Hunter's Guards S
Arms;0051;Bone Vambraces S
Arms;0052;Bone Guards S
Arms;0053;Alloy Vambraces S
Arms;0054;Alloy Guards S
Arms;0055;Jaggi Vambraces S
Arms;0056;Jaggi Guards S
Arms;0057;Bnahabra Gloves S
Arms;0058;Bnahabra Sleeves S
Arms;0059;Rhenoplos Braces S
Arms;005A;Rhenoplos Guards S
Arms;005B;Qurupeco Vambraces S
Arms;005C;Qurupeco Guards S
Arms;005D;Qurupeco Vambraces U
Arms;005E;Qurupeco Guards U
Arms;005F;Ludroth Vambraces S
Arms;0060;Ludroth Guards S
Arms;0061;Ludroth Vambraces U
Arms;0062;Ludroth Guards U
Arms;0063;DUMMY
Arms;0064;Baggi Vambraces S
Arms;0065;Baggi Guards S
Arms;0066;Wroggi Vambraces S
Arms;0067;Wroggi Guards S
Arms;0068;Arzuros Vambraces S
Arms;0069;Arzuros Guards S
Arms;006A;Lagombi Vambraces S
Arms;006B;Lagombi Guards S
Arms;006C;Volvidon Vambraces S
Arms;006D;Volvidon Guards S
Arms;006E;Barroth Vambraces S
Arms;006F;Barroth Guards S
Arms;0070;Barroth Vambraces U
Arms;0071;Barroth Guards U
